Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
4436876.524074272,3085278.6874412294,3376310.701653489,32.16879873393718,34.81366116708515,38.13736777752638
4436882.867613468,3085280.299765041,3376315.8637887486,32.168808713925635,34.81363680491583,46.07319576945156
4436875.160833216,3085279.1697089258,3376308.27129469,32.16878423359473,34.81367361654551,36.12903564609587
4436875.664475391,3085277.6070565437,3376310.2832723153,32.168801890114985,34.81365696589449,36.79509193729609
4436878.557056939,3085278.5391810285,3376315.6346878805,32.16882878284915,34.81364757114002,42.10504921153188
4436867.987224202,3085276.4750237423,3376308.9993831115,32.16882545559154,34.8136935816583,30.22891030833125
4436877.915107099,3085272.9434822346,3376311.994680038,32.16881886565458,34.813602748817985,37.01666357088834
4436881.0234163115,3085278.8546539256,3376314.808722995,32.16881189093968,34.81363538860502,43.53181773237884
4436886.411274806,3085283.7968362765,3376318.7815818083,32.168807432336905,34.81364579591151,51.77943831309676
4436876.284305746,3085280.0842467686,3376314.525581173,32.168825040290265,34.81367477691513,40.681704403832555
4436885.871596118,3085280.404399944,3376319.7176951664,32.16882600447386,34.81361953298685,50.26333217788488
4436879.814556449,3085279.3379808664,3376312.982790153,32.16880139304555,34.81364691282185,41.953097199089825
4436884.137887454,3085278.175101882,3376319.1947515355,32.168834957406595,34.81361062191923,47.70268567837775
4436887.364398755,3085282.0662199906,3376320.03315429,32.168817972850555,34.813624962595135,52.27184542641044
4436884.870462014,3085285.101476138,3376317.553666091,32.16880055665166,34.81366647851536,50.68533928319812
4436895.637674622,3085287.6123352307,3376323.353892239,32.16879550687542,34.81362316181187,62.469812168739736
4436884.707614484,3085285.543630214,3376320.7817980484,32.168824628518806,34.81367131294806,52.504550092853606
4436881.074173966,3085289.125559578,3376317.9239657675,32.16880731754779,34.81372448467957,50.18887392990291
4436888.430741351,3085284.3688207557,3376316.7349983254,32.168782281359995,34.813638551190586,52.36970274988562
4436885.963542193,3085284.253010207,3376322.251107508,32.16883443143499,34.81365247675338,53.535958846099675
